# List of additional categories for OSM objects.
# Format: type,id,key1=value1,key2=value2,...
# Example: way,34306743,olympics=stadium

# CIAN, from https://docs.google.com/spreadsheets/d/1-eL6vc107oKAZaZB9joJTqe3W_I8JYQWTZWc5RvB434/edit#gid=1154687572
way,332941842,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-narvskiy-posad-sankt-peterburg-7292/,name=ЖК «Нарвский Посад»
way,338832943,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-panoramy-zaliva-sankt-peterburg-7308/,name=ЖК «Панорамы Залива»
way,443851615,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-zolotoe-vremya-sankt-peterburg-7339/,name=ЖК «Золотое время»
way,148313835,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-palacio-sankt-peterburg-8696/,name=ЖК «Палацио»
way,450534325,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-zimaleto-sankt-peterburg-6335/,name=ЖК «ЗимаЛето»
way,250427115,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-moskovskie-vorota-sankt-peterburg-6969/,name=ЖК «Московские ворота»
way,290736507,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-yaromantik-sankt-peterburg-7042/,name=ЖК «Я-романтик»
way,139769597,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-riverside-sankt-peterburg-6895/,name=ЖК «Riverside»
way,404141564,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-morskoy-fasad-sankt-peterburg-8587/,name=ЖК «Морской фасад»
relation,7426200,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-rich-art-club-3-sankt-peterburg-14361/,name=ЖК «RICH ART CLUB 3»
way,241247008,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-dom-na-sedova-sankt-peterburg-7558/,name=ЖК «Дом на Седова»
relation,7085543,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-novaya-aleksandriya-sankt-peterburg-7170/,name=ЖК «Новая Александрия»

node,281381896,sponsored=tinkoff
node,281529751,sponsored=tinkoff
node,282503958,sponsored=tinkoff
node,287787971,sponsored=tinkoff
node,299138134,sponsored=tinkoff
node,309312460,sponsored=tinkoff
node,344437951,sponsored=tinkoff
node,393041915,sponsored=tinkoff
node,393041922,sponsored=tinkoff
node,412045816,sponsored=tinkoff
node,412045817,sponsored=tinkoff
node,428218532,sponsored=tinkoff
node,444562670,sponsored=tinkoff
node,444562689,sponsored=tinkoff
node,444562776,sponsored=tinkoff
node,444562860,sponsored=tinkoff
node,444562998,sponsored=tinkoff
node,459489969,sponsored=tinkoff
node,474428242,sponsored=tinkoff
node,480676105,sponsored=tinkoff
node,485599428,sponsored=tinkoff
node,485599429,sponsored=tinkoff
node,485599430,sponsored=tinkoff
node,522765959,sponsored=tinkoff
node,554245586,sponsored=tinkoff
node,562637788,sponsored=tinkoff
node,562825481,sponsored=tinkoff
node,563301296,sponsored=tinkoff
node,563309344,sponsored=tinkoff
node,569918889,sponsored=tinkoff
node,579302893,sponsored=tinkoff
node,582060392,sponsored=tinkoff
node,582060393,sponsored=tinkoff
node,618112491,sponsored=tinkoff
node,649013485,sponsored=tinkoff
node,660775487,sponsored=tinkoff
node,664216950,sponsored=tinkoff
node,666757934,sponsored=tinkoff
node,668460713,sponsored=tinkoff
node,668460721,sponsored=tinkoff
node,669786166,sponsored=tinkoff
node,670131411,sponsored=tinkoff
node,707617129,sponsored=tinkoff
node,713629040,sponsored=tinkoff
node,715383326,sponsored=tinkoff
node,724460941,sponsored=tinkoff
node,731806087,sponsored=tinkoff
node,732911070,sponsored=tinkoff
node,762672329,sponsored=tinkoff
node,788069570,sponsored=tinkoff
node,796484605,sponsored=tinkoff
node,856681969,sponsored=tinkoff
node,861054548,sponsored=tinkoff
node,861054577,sponsored=tinkoff
node,865288555,sponsored=tinkoff
node,884420443,sponsored=tinkoff
node,903670185,sponsored=tinkoff
node,907448301,sponsored=tinkoff
node,910567571,sponsored=tinkoff
node,910567764,sponsored=tinkoff
node,924267480,sponsored=tinkoff
node,925011821,sponsored=tinkoff
node,931494248,sponsored=tinkoff
node,932571163,sponsored=tinkoff
node,950326676,sponsored=tinkoff
node,950533813,sponsored=tinkoff
node,954876393,sponsored=tinkoff
node,954877392,sponsored=tinkoff
node,960090586,sponsored=tinkoff
node,974279952,sponsored=tinkoff
node,974341999,sponsored=tinkoff
node,974349831,sponsored=tinkoff
node,975010498,sponsored=tinkoff
node,981838917,sponsored=tinkoff
node,983020101,sponsored=tinkoff
node,991749841,sponsored=tinkoff
node,991749843,sponsored=tinkoff
node,993424027,sponsored=tinkoff
node,1006303487,sponsored=tinkoff
node,1012800748,sponsored=tinkoff
node,1013340839,sponsored=tinkoff
node,1013340841,sponsored=tinkoff
node,1013340842,sponsored=tinkoff
node,1013340845,sponsored=tinkoff
node,1019730223,sponsored=tinkoff
node,1025020605,sponsored=tinkoff
node,1027641278,sponsored=tinkoff
node,1028702066,sponsored=tinkoff
node,1029185776,sponsored=tinkoff
node,1029185796,sponsored=tinkoff
node,1029255839,sponsored=tinkoff
node,1029547665,sponsored=tinkoff
node,1030463087,sponsored=tinkoff
node,1035973514,sponsored=tinkoff
node,1035973589,sponsored=tinkoff
node,1036262403,sponsored=tinkoff
